iter	Passed	Remaining
0	5	5180
1	9	4599
2	23	7794
3	27	6951
4	35	7092
5	44	7313
6	74	10556
7	79	9915
8	95	10530
9	113	11190
10	127	11497
11	146	12031
12	161	12257
13	176	12462
14	192	12659
15	198	12182
16	219	12698
17	236	12910
18	242	12514
19	255	12511
20	259	12103
21	277	12342
22	292	12431
23	296	12075
24	301	11740
25	307	11524
26	312	11276
27	320	11118
28	325	10902
29	329	10648
30	343	10729
31	356	10786
32	362	10618
33	375	10681
34	380	10490
35	389	10440
36	406	10584
37	412	10444
38	426	10516
39	433	10406
40	458	10722
41	468	10681
42	472	10507
43	475	10339
44	483	10260
45	495	10269
46	576	11696
47	581	11536
48	598	11616
49	612	11644
50	618	11503
51	632	11539
52	637	11385
53	652	11439
54	658	11315
55	663	11192
56	669	11069
57	674	10955
58	679	10842
59	693	10865
60	700	10776
61	705	10677
62	712	10597
63	716	10479
64	733	10556
65	740	10472
66	748	10420
67	752	10318
68	758	10236
69	786	10447
70	833	10904
71	880	11353
72	886	11257
73	890	11142
74	898	11083
75	906	11021
76	921	11043
77	925	10944
78	941	10979
79	958	11028
80	968	10990
81	974	10905
82	978	10813
83	992	10819
84	1000	10770
85	1008	10719
86	1012	10629
87	1026	10639
88	1031	10555
89	1034	10463
90	1048	10477
91	1063	10495
92	1066	10404
93	1071	10326
94	1081	10304
95	1100	10364
96	1112	10358
97	1121	10325
98	1127	10262
99	1131	10179
100	1134	10097
101	1142	10057
102	1167	10164
103	1171	10094
104	1184	10097
105	1191	10048
106	1201	10028
107	1210	9995
108	1216	9941
109	1220	9877
110	1226	9825
111	1233	9781
112	1237	9710
113	1252	9732
114	1255	9661
115	1259	9599
116	1275	9626
117	1293	9668
118	1305	9664
119	1320	9681
120	1329	9657
121	1354	9748
122	1359	9693
123	1369	9673
124	1375	9626
125	1386	9620
126	1390	9561
127	1403	9564
128	1409	9517
129	1424	9530
130	1430	9486
131	1435	9439
132	1443	9412
133	1448	9358
134	1451	9302
135	1457	9258
136	1463	9216
137	1476	9225
138	1488	9219
139	1499	9211
140	1514	9225
141	1517	9172
142	1550	9291
143	1581	9399
144	1596	9413
145	1650	9652
146	1667	9676
147	1672	9629
148	1686	9634
149	1692	9588
150	1704	9581
151	1707	9527
152	1722	9537
